,plateifus,gas best angle,gas error angle,stellar best angle,stellar error angle,delta PA
295,9876-6103,29.0,0.5,33.0,7.25,-4.0
296,8935-12705,73.5,0.5,141.5,18.0,-68.0
297,8934-6103,14.5,0.5,174.0,1.0,-159.5
298,8935-12701,68.0,0.5,59.5,3.0,8.5
299,8935-12702,28.5,0.5,173.5,1.75,-145.0
300,8935-3703,45.5,0.5,83.0,19.0,-37.5
301,8323-6104,3.0,0.5,9.0,4.25,-6.0
302,8446-6101,82.5,0.5,81.5,4.0,1.0
303,9488-1901,129.0,9.5,159.5,8.75,-30.5
304,8442-6104,86.0,0.5,166.0,7.25,-80.0
305,8323-3704,171.0,1.0,166.0,4.5,5.0
306,8446-1901,0.0,0.5,116.0,43.5,-116.0
307,8554-3701,16.0,0.5,113.0,7.25,-97.0
308,8985-1902,78.5,0.5,38.0,5.75,40.5
309,8444-6101,5.0,0.5,27.5,25.0,-22.5
310,8444-1902,94.0,1.5,103.5,11.0,-9.5
311,8985-3702,72.0,0.5,28.0,14.25,44.0
312,8444-3704,100.5,2.0,100.0,4.5,0.5
313,8442-3703,143.5,0.5,168.0,2.25,-24.5
314,9195-1901,135.0,0.5,149.0,44.25,-14.0
315,9195-6102,91.0,0.5,69.5,16.5,21.5
316,8566-12703,34.0,0.5,96.5,25.5,-62.5
317,8138-3704,93.5,0.5,84.0,17.25,9.5
318,8719-6101,1.0,0.5,7.5,1.0,-6.5
319,9863-3701,8.5,0.5,15.0,7.0,-6.5
320,8950-12702,165.5,0.5,14.5,3.25,151.0
321,8950-3701,63.5,0.5,22.5,21.000000000000004,41.0
322,8933-12702,31.0,0.5,39.0,6.75,-8.0
323,8932-12705,156.0,0.5,122.5,89.5,33.5
324,8931-6104,81.5,0.5,160.0,5.5,-78.5
325,8949-12701,86.0,0.5,143.5,5.75,-57.5
326,8931-9102,82.0,0.5,140.5,9.0,-58.5
327,8935-6101,115.0,0.5,179.0,5.0000000000000036,-64.0
328,8933-9102,37.0,0.5,20.0,89.75,17.0
329,9863-12705,72.0,0.5,85.0,3.25,-13.0
330,8935-3704,56.5,0.5,63.5,5.0,-7.0
331,9876-3701,4.5,0.5,94.0,15.0,-89.5
332,8950-3704,62.5,0.5,174.0,6.75,-111.5
333,9051-6103,126.5,0.5,119.0,7.0,7.5
334,8933-12704,149.5,0.5,102.5,6.5,47.0
335,8933-3702,4.5,0.5,86.0,35.75,-81.5
336,8933-9101,10.0,0.5,164.5,9.75,-154.5
337,9863-12703,110.5,0.5,54.0,10.75,56.5
338,8932-3702,29.5,0.5,12.5,45.50000000000001,17.0
339,8933-12705,124.0,0.5,81.0,28.25,43.0
340,8931-12705,31.5,0.5,10.0,6.25,21.5
341,8933-6104,127.5,0.5,46.5,42.75,81.0
342,8934-9101,165.5,0.5,93.5,7.0,72.0
343,8933-3704,66.0,0.5,71.5,9.0,-5.5
344,9876-6102,4.5,0.5,118.5,1.0,-114.0
345,8932-6102,136.0,0.5,115.0,4.75,21.0
346,8932-3703,7.0,0.5,103.0,4.0,-96.0
347,9881-1901,62.5,6.25,62.5,7.25,0.0
348,8244-1902,118.0,0.5,133.5,5.0,-15.5
349,8724-12702,10.5,0.5,154.0,36.0,-143.5
350,8724-12704,93.5,0.5,85.5,2.0,8.0
351,8724-3704,61.0,0.5,160.5,5.25,-99.5
352,8448-6101,61.5,0.5,140.5,89.75,-79.0
353,8449-1902,14.0,0.5,91.5,26.0,-77.5
354,8449-9101,26.5,0.5,73.5,12.0,-47.0
355,8449-6104,76.5,0.5,92.0,1.75,-15.5
356,8450-1901,142.0,1.5,156.0,14.25,-14.0
357,8320-1902,180.0,0.5,4.0,75.5,176.0
358,8158-1902,94.5,0.5,112.5,6.0,-18.0
359,9512-3703,43.0,0.5,178.5,18.999999999999996,-135.5
360,9512-6103,74.0,0.5,66.5,4.25,7.5
361,7958-3704,61.0,0.5,24.5,5.25,36.5
362,7958-1902,57.0,3.75,57.0,4.0,0.0
363,8716-6102,87.5,0.5,134.5,3.5,-47.0
364,10001-1901,34.0,0.5,94.5,7.75,-60.5
365,8145-3703,85.5,9.75,91.5,10.0,-6.0
366,9863-12704,75.0,0.5,41.5,0.5,33.5
367,8333-3702,61.0,0.5,95.5,0.5,-34.5
368,8618-9101,169.5,0.5,60.5,1.75,109.0
369,9502-3703,161.5,0.5,35.0,5.0,126.5
