plateifus,gas best angle,gas error angle,stellar best angle,stellar error angle,delta PA,category,Galaxy Type,,,,,
8446-1901,0,0.5,116,43.5,-116,offset,Composite,,,,,
8554-3701,16,0.5,113,7.25,-97,offset,Star-forming,,,,,
8985-1902,78.5,0.5,38,5.75,40.5,offset,LINER,,,,,
8444-6101,5,0.5,27.5,25,-22.5,co-rotate,Star-forming,,,,,
8444-1902,94,1.5,103.5,11,-9.5,co-rotate,Star-forming,,,,,
8985-3702,72,0.5,28,14.25,44,offset,Star-forming,,,,,
8444-3704,100.5,2,100,4.5,0.5,co-rotate,Star-forming,,,,,
8442-3703,143.5,0.5,168,2.25,-24.5,co-rotate,LINER,,,,,
9195-1901,135,0.5,149,44.25,-14,co-rotate,Star-forming,,,,,
9195-6102,91,0.5,69.5,16.5,21.5,co-rotate,Star-forming,,,,,
8566-12703,34,0.5,96.5,25.5,-62.5,offset,Star-forming,,,,,
8138-3704,93.5,0.5,84,17.25,9.5,co-rotate,Star-forming,,,,,
8719-6101,1,0.5,7.5,1,-6.5,co-rotate,Star-forming,,,,,
9863-3701,8.5,0.5,15,7,-6.5,co-rotate,x,,,,,
8950-12702,165.5,0.5,14.5,3.25,151,counter-rotate,x,,,,,
8950-3701,63.5,0.5,22.5,21,41,offset,x,,,,,
8933-12702,31,0.5,39,6.75,-8,co-rotate,LINER,,,,,
8932-12705,156,0.5,122.5,89.5,33.5,offset,LINER,,,,,
8931-6104,81.5,0.5,160,5.5,-78.5,offset,Composite,,,,,
8949-12701,86,0.5,143.5,5.75,-57.5,offset,Star-forming,,,,,
8931-9102,82,0.5,140.5,9,-58.5,offset,LINER,,,,,
8935-6101,115,0.5,179,5,-64,offset,LINER,,,,,
8933-9102,37,0.5,20,89.75,17,co-rotate,LINER,,,,,
9863-12705,72,0.5,85,3.25,-13,co-rotate,x,,,,,
8935-3704,56.5,0.5,63.5,5,-7,co-rotate,x,,,,,
9876-3701,4.5,0.5,94,15,-89.5,offset,Star-forming,,,,,
8950-3704,62.5,0.5,174,6.75,-111.5,offset,x,,,,,
9051-6103,126.5,0.5,119,7,7.5,co-rotate,LINER,,,,,
8933-12704,149.5,0.5,102.5,6.5,47,offset,x,,,,,
8933-3702,4.5,0.5,86,35.75,-81.5,offset,x,,,,,
8933-9101,10,0.5,164.5,9.75,-154.5,counter-rotate,x,,,,,
9863-12703,110.5,0.5,54,10.75,56.5,offset,x,,,,,
8932-3702,29.5,0.5,12.5,45.5,17,co-rotate,x,,,,,
8933-12705,124,0.5,81,28.25,43,offset,LINER,,,,,
8931-12705,31.5,0.5,10,6.25,21.5,co-rotate,x,,,,,
8933-6104,127.5,0.5,46.5,42.75,81,offset,LINER,,,,,
8934-9101,165.5,0.5,93.5,7,72,offset,x,,,,,
8933-3704,66,0.5,71.5,9,-5.5,co-rotate,Star-forming,,,,,
9876-6102,4.5,0.5,118.5,1,-114,offset,x,,,,,
8932-6102,136,0.5,115,4.75,21,co-rotate,x,,,,,
8932-3703,7,0.5,103,4,-96,offset,x,,,,,
9881-1901,62.5,6.25,62.5,7.25,0,co-rotate,Seyfert,,,,,
8244-1902,118,0.5,133.5,5,-15.5,co-rotate,Composite,,,,,
8724-12702,10.5,0.5,154,36,-143.5,offset,Composite,,,,,
8724-12704,93.5,0.5,85.5,2,8,co-rotate,Star-forming,,,,,
8724-3704,61,0.5,160.5,5.25,-99.5,offset,Star-forming,,,,,
8448-6101,61.5,0.5,140.5,89.75,-79,offset,Star-forming,,,,,
8449-1902,14,0.5,91.5,26,-77.5,offset,Seyfert,,,,,
8449-9101,26.5,0.5,73.5,12,-47,offset,Seyfert,,,,,
8449-6104,76.5,0.5,92,1.75,-15.5,co-rotate,Star-forming,,,,,
8450-1901,142,1.5,156,14.25,-14,co-rotate,Star-forming,,,,,
8320-1902,180,0.5,4,75.5,176,counter-rotate,x,,,,,
8158-1902,94.5,0.5,112.5,6,-18,co-rotate,Composite,,,,,
9512-3703,43,0.5,178.5,19,-135.5,offset,Seyfert,,,,,
9512-6103,74,0.5,66.5,4.25,7.5,co-rotate,Star-forming,,,,,
7958-3704,61,0.5,24.5,5.25,36.5,offset,LINER,,,,,
7958-1902,57,3.75,57,4,0,co-rotate,Star-forming,,,,,
8716-6102,87.5,0.5,134.5,3.5,-47,offset,Star-forming,,,,,
10001-1901,34,0.5,94.5,7.75,-60.5,offset,Composite,,,,,
8145-3703,85.5,9.75,91.5,10,-6,co-rotate,Composite,,,,,
9863-12704,75,0.5,41.5,0.5,33.5,offset,x,,,,,
8333-3702,61,0.5,95.5,0.5,-34.5,offset,x,,,,,
8618-9101,169.5,0.5,60.5,1.75,109,offset,Composite,,,,,
9502-3703,161.5,0.5,35,5,126.5,offset,LINER,,,,,
8244-12705,95,0.5,90.5,1.5,4.5,co-rotate,LINER,,,,,
8440-3704,54,36.25,152,3.5,-98,offset,Star-forming,,,,,
8458-6102,162.5,0.5,149,17,13.5,co-rotate,LINER,,,,,
9876-6104,119.5,0.5,119.5,29.75,0,co-rotate,x,,,,,
8618-12702,123.5,0.5,67,0.5,56.5,offset,x,,,,,
9181-6102,99,0.5,133.5,14.75,-34.5,offset,Star-forming,,,,,
8713-3704,98.5,0.5,70.5,18.75,28,co-rotate,Star-forming,,,,,
8553-12701,125,0.5,139,1.5,-14,co-rotate,Star-forming,,,,,
8483-3704,18,0.75,24.5,5.5,-6.5,co-rotate,Star-forming,,,,,
